Nama Daerah,Detail,Harga,Tipe,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Lantai,Sertifikasi,Alamat Lokasi,Kecamatan,Kota,HGB,"Lainnya (PPJB, Girik, Adat, dll)",SHM
"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 32 m2,800000000,Rumah,32,60,2,1,1,SHM - Sertifikat Hak Milik,Grand Bukit Dago,Pasar Minggu,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 2 KM - 80 m2,985000000,Rumah,80,50,3,2,2,SHM - Sertifikat Hak Milik,Cimanggis Cibubur,Cilandak,Jakarta Selatan,0,0,1
"Pancoran, Jakarta Selatan",3 KT - 1 KM - 88 m2,2350000000,Rumah,88,99,3,1,1,SHM - Sertifikat Hak Milik,Jakarta Sellatan,Pancoran,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",3 KT - 2 KM - 85 m2,840000000,Rumah,85,96,3,2,2,SHM - Sertifikat Hak Milik,Jatiasih Bekasi,Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",3 KT - 3 KM - 90 m2,1150000099,Rumah,90,70,3,3,2,SHM - Sertifikat Hak Milik,Jl. Kavling AL Grand Depok City,Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",3 KT - 2 KM - 70 m2,640000000,Rumah,70,54,3,2,2,SHM - Sertifikat Hak Milik,Jatimulya cilodong Depok,Pasar Minggu,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 60 m2,500000000,Rumah,60,60,3,2,2,SHM - Sertifikat Hak Milik,rawakalong,Kebayoran Lama,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 109 m2,750000000,Rumah,109,109,3,2,1,SHM - Sertifikat Hak Milik,"GANG AMSAR, DEKAT DENGAN PASAR SAYUR CIPULIR JALAN CILEDUG RAYA NO.99 CIPULIR KEBAYORAN LAMA JAKARTA SELATAN",Kebayoran Lama,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 21 m2,350000000,Rumah,21,21,2,1,1,SHM - Sertifikat Hak Milik,"GANG AMSAR, DEKAT DENGAN PASAR SAYUR CIPULIR JALAN CILEDUG RAYA NO.99 CIPULIR KEBAYORAN LAMA JAKARTA SELATAN",Kebayoran Lama,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",2 KT - 1 KM - 51 m2,900000000,Rumah,51,72,2,1,1,SHM - Sertifikat Hak Milik,Graha Raya Bintaro Jaya,Pesanggrahan,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",5 KT - 4 KM - 260 m2,2100000000,Rumah,260,96,5,4,3,SHM - Sertifikat Hak Milik,Cirendeu dekat Lebak Bulus,Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 68 m2,625000000,Rumah,68,68,3,2,2,SHM - Sertifikat Hak Milik,"Jl. Amsar, Cipulir, Kebayoran Lama, Jakarta Selatan",Kebayoran Lama,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",2 KT - 1 KM - 48 m2,198000000,Rumah,48,68,2,1,1,SHM - Sertifikat Hak Milik,"Perum. Taman Adiyasa Dekat Stasiun Tigaraksa Tangerang, Terjangkau Dari Tangerang Dan Jakarta",Cilandak,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 36 m2,250000000,Rumah,36,55,2,1,1,SHM - Sertifikat Hak Milik,Kota depok,Mampang Prapatan,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 36 m2,250000000,Rumah,36,55,2,1,1,SHM - Sertifikat Hak Milik,Kota depok,Pasar Minggu,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 390 m2,10200000001,Rumah,390,140,4,3,3,SHM - Sertifikat Hak Milik,Pondok indah jaksel,Kebayoran Lama,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",3 KT - 2 KM - 89 m2,1150000000,Rumah,89,62,3,2,2,SHM - Sertifikat Hak Milik,Unknown,Pesanggrahan,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 36 m2,275000000,Rumah,36,57,2,1,1,SHM - Sertifikat Hak Milik,Kota depok,Pasar Minggu,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 36 m2,275000000,Rumah,36,57,2,1,1,SHM - Sertifikat Hak Milik,Kota depok,Mampang Prapatan,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",3 KT - 3 KM - 88 m2,1500000004,Rumah,88,84,3,3,2,SHM - Sertifikat Hak Milik,Jl Muchtar Depok,Mampang Prapatan,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",3 KT - 2 KM - 84 m2,1000000000,Rumah,84,90,3,2,2,SHM - Sertifikat Hak Milik,Jl Raya Provinsi Kemang Bogor,Mampang Prapatan,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 57 m2,499000000,Rumah,57,60,3,2,2,SHM - Sertifikat Hak Milik,Paradise Serpong City 2,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",2 KT - 1 KM - 48 m2,183000000,Rumah,48,60,2,1,1,SHM - Sertifikat Hak Milik,"Perum. Taman Adiyasa Dekat Stasiun Tigaraksa Tangerang, Terjangkau Dari Tangerang Dan Jakarta",Kebayoran Baru,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",3 KT - 2 KM - 50 m2,1000000000,Rumah,50,60,3,2,2,SHM - Sertifikat Hak Milik,Pamulang Tangerang Selatan,Mampang Prapatan,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 40 m2,485000000,Rumah,40,90,2,1,1,SHM - Sertifikat Hak Milik,Jl SBR dekat ke Stasiun Kereta Citayam,Mampang Prapatan,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",6 KT - 8 KM - 600 m2,17000000000,Rumah,600,250,6,8,2,SHM - Sertifikat Hak Milik,Kebayoran baru jakarta selatan,Kebayoran Baru,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",2 KT - 1 KM - 66 m2,470000000,Rumah,66,66,2,1,1,SHM - Sertifikat Hak Milik,PONDOK KACANG GANG H. BASIR CEGER 1,Pesanggrahan,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",2 KT - 1 KM - 40 m2,399000000,Rumah,40,90,2,1,1,SHM - Sertifikat Hak Milik,Jl Ragajaya dekat ke Stasiun Kereta Citayam,Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 46 m2,250000000,Rumah,46,46,2,1,1,"Lainnya (PPJB, Girik, Adat, dll)",Jl kreo raya sebelah giant tyo wa 081290906962,Kebayoran Lama,Jakarta Selatan,0,1,0
"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 36 m2,480000000,Rumah,36,54,2,1,1,SHM - Sertifikat Hak Milik,"Kalibaru, Cilodong, Depok",Pasar Minggu,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 80 m2,590000000,Rumah,80,40,3,2,2,SHM - Sertifikat Hak Milik,Jl joglo raya 081290906962,Kebayoran Lama,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",3 KT - 3 KM - 120 m2,1800000000,Rumah,120,88,3,3,2,SHM - Sertifikat Hak Milik,Komplek deplu jakarta selatan tyo wa 081290906962,Kebayoran Lama,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 84 m2,2147000000,Rumah,84,66,3,2,2,SHM - Sertifikat Hak Milik,Rempoa dekat MRT lebak bulus,Kebayoran Baru,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 36 m2,673000000,Rumah,36,60,2,1,1,SHM - Sertifikat Hak Milik,"Kalibaru, Cilodong, Depok",Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 36 m2,275000000,Rumah,36,57,2,1,1,SHM - Sertifikat Hak Milik,Kota depok,Pasar Minggu,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 86 m2,1750000000,Rumah,86,60,3,3,2,SHM - Sertifikat Hak Milik,Bintaro sektor 2,Kebayoran Baru,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 36 m2,275000000,Rumah,36,57,2,1,1,SHM - Sertifikat Hak Milik,Kota depok,Mampang Prapatan,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",4 KT - 3 KM - 169 m2,2250000000,Rumah,169,146,4,3,2,SHM - Sertifikat Hak Milik,PESANGGRAHAN,Pesanggrahan,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 60 m2,700000001,Rumah,60,60,3,2,2,SHM - Sertifikat Hak Milik,"Hub Wa = 085695202129 South City Pondok Cabe, Tangerang Selatan",Kebayoran Lama,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",4 KT - 4 KM - 50 m2,2400000000,Rumah,50,50,4,4,2,SHM - Sertifikat Hak Milik,fitri motor jl duren tiga selatan no 26 rt 009/002 kec pancoran. jakarta selatan,Mampang Prapatan,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 45 m2,673000000,Rumah,45,75,2,1,1,SHM - Sertifikat Hak Milik,"Depok, cilodong",Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 36 m2,275000000,Rumah,36,57,2,1,1,SHM - Sertifikat Hak Milik,Kota depok,Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",2 KT - 2 KM - 50 m2,775000016,Rumah,50,73,2,2,1,SHM - Sertifikat Hak Milik,Jl. Kavling BRI Grand Depok City,Pasar Minggu,Jakarta Selatan,0,0,1
"Ciracas, Jakarta Timur",4 KT - 2 KM - 160 m2,1700000000,Rumah,160,106,4,2,2,SHM - Sertifikat Hak Milik,"Kelapa Dua Wetan, Ciracas, Jakarta Timur",Ciracas,Jakarta Timur,0,0,1
"Jatinegara, Jakarta Timur",2 KT - 2 KM - 59 m2,800250000,Rumah,59,30,2,2,2,SHM - Sertifikat Hak Milik,Jl.Cipinang Elok Jatinegara jakarta timur,Jatinegara,Jakarta Timur,0,0,1
"Kramat Jati, Jakarta Timur",4 KT - 2 KM - 160 m2,1850000000,Rumah,160,90,4,2,2,SHM - Sertifikat Hak Milik,Kampung Makasar Jakarta Timur,Kramat Jati,Jakarta Timur,0,0,1
"Kebon Jeruk, Jakarta Barat",5 KT - 6 KM - 450 m2,9000000000,Rumah,450,330,5,6,2,"Lainnya (PPJB, Girik, Adat, dll)",Kebon jeruk,Kebon Jeruk,Jakarta Barat,0,1,0
"Matraman, Jakarta Timur",3 KT - 2 KM - 59 m2,835000000,Rumah,59,30,3,2,2,SHM - Sertifikat Hak Milik,"Jalan Pisangan, Jakarta Timur",Matraman,Jakarta Timur,0,0,1
"Kebon Jeruk, Jakarta Barat",2 KT - 2 KM - 58 m2,950000000,Rumah,58,30,2,2,2,SHM - Sertifikat Hak Milik,"JL. Pos Pengumben Dalam no 14 blok B2 rt 001/rw06, kelurahan kepala dua,kecamatan kebun jeruk,jakarta barat",Kebon Jeruk,Jakarta Barat,0,0,1
"Matraman, Jakarta Timur",3 KT - 2 KM - 67 m2,1600000000,Rumah,67,48,3,2,2,SHM - Sertifikat Hak Milik,Jalan Pemuda RawaMangun Jakarta Timur,Matraman,Jakarta Timur,0,0,1
"Senen, Jakarta Pusat",2 KT - 3 KM - 72 m2,1400000000,Rumah,72,68,2,3,2,SHM - Sertifikat Hak Milik,Jl baladewa tanah tinggi,Senen,Jakarta Pusat,0,0,1
"Jagakarsa, Jakarta Selatan",2 KT - 2 KM - 80 m2,800000000,Rumah,80,105,2,2,1,SHM - Sertifikat Hak Milik,Jalan Banten Jagakarsa,Jagakarsa,Jakarta Selatan,0,0,1
"Jagakarsa, Jakarta Selatan",3 KT - 2 KM - 80 m2,800000000,Rumah,80,58,3,2,2,SHM - Sertifikat Hak Milik,Depok,Jagakarsa,Jakarta Selatan,0,0,1
"Palmerah, Jakarta Barat",6 KT - 6 KM - 302 m2,9500000000,Rumah,302,325,6,6,2,SHM - Sertifikat Hak Milik,Kemanggisan,Palmerah,Jakarta Barat,0,0,1
"Jatinegara, Jakarta Timur",2 KT - 2 KM - 39 m2,480000000,Rumah,39,20,2,2,2,SHM - Sertifikat Hak Milik,Jl cipinang elok kec jatinegara Jakarta timur,Jatinegara,Jakarta Timur,0,0,1
"Johar Baru, Jakarta Pusat",3 KT - 3 KM - 165 m2,3800000000,Rumah,165,182,3,3,3,SHM - Sertifikat Hak Milik,Jl.rawa selatan VI rt.07 rw.07,Johar Baru,Jakarta Pusat,0,0,1
"Palmerah, Jakarta Barat",5 KT - 2 KM - 175 m2,3750000000,Rumah,175,162,5,2,1,SHM - Sertifikat Hak Milik,"Jl. Bidara IV, Tomang",Palmerah,Jakarta Barat,0,0,1
"Jagakarsa, Jakarta Selatan",3 KT - 2 KM - 95 m2,450000000,Rumah,95,52,3,2,2,SHM - Sertifikat Hak Milik,Jl.Moch Khafi 1 Gg.kemenyan 1 No.1b Jagakarsa Jakarta Selatan,Jagakarsa,Jakarta Selatan,0,0,1
"Jagakarsa, Jakarta Selatan",3 KT - 2 KM - 70 m2,1500000000,Rumah,70,92,3,2,2,SHM - Sertifikat Hak Milik,Jalan Aseli Jagakarsa Jakarta Selatan,Jagakarsa,Jakarta Selatan,0,0,1
"Kramat Jati, Jakarta Timur",2 KT - 2 KM - 53 m2,425000000,Rumah,53,30,2,2,2,"Lainnya (PPJB, Girik, Adat, dll)",Jl batu ampar 5 kramatjati,Kramat Jati,Jakarta Timur,0,1,0
"Jatinegara, Jakarta Timur",2 KT - 3 KM - 61 m2,805000000,Rumah,61,31,2,3,2,SHM - Sertifikat Hak Milik,Cipinang Muara  di Jakarta Timur,Jatinegara,Jakarta Timur,0,0,1
"Tanjung Barat, Jakarta Selatan",3 KT - 3 KM - 130 m2,1200000000,Rumah,130,72,3,3,2,SHM - Sertifikat Hak Milik,tanjung barat jakarta selatan,Tanjung Barat,Jakarta Selatan,0,0,1
"Matraman, Jakarta Timur",2 KT - 2 KM - 59 m2,835000000,Rumah,59,30,2,2,2,SHM - Sertifikat Hak Milik,Matraman,Matraman,Jakarta Timur,0,0,1
"Kebon Jeruk, Jakarta Barat",4 KT - 4 KM - 400 m2,4800000000,Rumah,400,252,4,4,3,SHM - Sertifikat Hak Milik,Jalan perumahan green garden blok N12A no.22,Kebon Jeruk,Jakarta Barat,0,0,1
"Matraman, Jakarta Timur",2 KT - 2 KM - 39 m2,482500000,Rumah,39,20,2,2,2,SHM - Sertifikat Hak Milik,Jl Cipinang Elok,Matraman,Jakarta Timur,0,0,1
"Pasar Rebo, Jakarta Timur",2 KT - 2 KM - 60 m2,780000000,Rumah,60,47,2,2,2,SHM - Sertifikat Hak Milik,Jl. Gandaria 8 rt003/rw009 kel.Pekayon (belakang indomart gandaria 2) kec. pasar rebo jakarta timur,Pasar Rebo,Jakarta Timur,0,0,1
"Ciracas, Jakarta Timur",2 KT - 2 KM - 75 m2,700000000,Rumah,75,72,2,2,2,SHM - Sertifikat Hak Milik,Cileungsi,Ciracas,Jakarta Timur,0,0,1
"Jatinegara, Jakarta Timur",2 KT - 1 KM - 33 m2,310000000,Rumah,33,34,2,1,1,"Lainnya (PPJB, Girik, Adat, dll)",Bintara 8 dkt pdk kopi,Jatinegara,Jakarta Timur,0,1,0
"Matraman, Jakarta Timur",2 KT - 1 KM - 60 m2,680000000,Rumah,60,40,2,1,2,SHM - Sertifikat Hak Milik,"Jl. Asem Gede VI, Nomor 34 Utan Kayu Jakarta Timur",Matraman,Jakarta Timur,0,0,1
"Kramat Jati, Jakarta Timur",4 KT - 3 KM - 271 m2,15000000000,Rumah,271,384,4,3,2,SHM - Sertifikat Hak Milik,"Jln. Damai, Kav. Villa Sawo, Cipete, Jaksel",Kramat Jati,Jakarta Timur,0,0,1
"Kembangan, Jakarta Barat",6 KT - 3 KM - 740 m2,11500000000,Rumah,740,763,6,3,2,SHM - Sertifikat Hak Milik,Meruya Selatan Kembangan Jakarta Barat,Kembangan,Jakarta Barat,0,0,1
"Kembangan, Jakarta Barat",2 KT - 1 KM - 40 m2,500000000,Rumah,40,51,2,1,1,SHM - Sertifikat Hak Milik,Jalan Raya Joglo Gang Soneta No. 11A RT.012 RW.001,Kembangan,Jakarta Barat,0,0,1
"Kebon Jeruk, Jakarta Barat",3 KT - 2 KM - 80 m2,590000000,Rumah,80,40,3,2,2,SHM - Sertifikat Hak Milik,Jl joglo raya tyo 081290906962,Kebon Jeruk,Jakarta Barat,0,0,1
"Tebet, Jakarta Selatan",4 KT - 4 KM - 160 m2,3000000000,Rumah,160,83,4,4,3,SHM - Sertifikat Hak Milik,Tebet Timur,Tebet,Jakarta Selatan,0,0,1
"Palmerah, Jakarta Barat",6 KT - 3 KM - 110 m2,2950000000,Rumah,110,169,6,3,2,SHM - Sertifikat Hak Milik,Kemanggisan Ilir 2,Palmerah,Jakarta Barat,0,0,1
"Johar Baru, Jakarta Pusat",2 KT - 3 KM - 72 m2,1404000000,Rumah,72,68,2,3,2,SHM - Sertifikat Hak Milik,Jl. Baladewa tanah tinggi jakarta pusat,Johar Baru,Jakarta Pusat,0,0,1
"Senen, Jakarta Pusat",2 KT - 3 KM - 72 m2,1404000000,Rumah,72,68,2,3,2,SHM - Sertifikat Hak Milik,"Jalan Baladewa, Tanah Tinggi, Senen, Jakarta Pusat",Senen,Jakarta Pusat,0,0,1
"Jatinegara, Jakarta Timur",2 KT - 2 KM - 68 m2,805600000,Rumah,68,35,2,2,2,SHM - Sertifikat Hak Milik,Jl. Cipinang Muara 2 Jakarta Timur,Jatinegara,Jakarta Timur,0,0,1
"Makasar, Jakarta Timur",5 KT - 3 KM - 312 m2,2500000000,Rumah,312,312,5,3,1,SHM - Sertifikat Hak Milik,"Jl pusdiklat depnaker,kel makasar kec makasar,jakarta timur",Makasar,Jakarta Timur,0,0,1
"Kembangan, Jakarta Barat",1 KT - 1 KM - 21 m2,260000000,Rumah,21,21,1,1,1,SHM - Sertifikat Hak Milik,Jl. Flamboyan no 72b rt06/02 Srengseng JakBar,Kembangan,Jakarta Barat,0,0,1
"Kramat Jati, Jakarta Timur",3 KT - 3 KM - 39 m2,600000000,Rumah,39,39,3,3,2,"Lainnya (PPJB, Girik, Adat, dll)","Perumahan Kansa Residence No G-12, Kelurahan Kampung Tengah, Kecamatan Kramat Jati, Jakarta Timur",Kramat Jati,Jakarta Timur,0,1,0
"Kembangan, Jakarta Barat",5 KT - 4 KM - 180 m2,3275000000,Rumah,180,262,5,4,1,SHM - Sertifikat Hak Milik,Jalan Pemancingan Srengseng,Kembangan,Jakarta Barat,0,0,1
"Jagakarsa, Jakarta Selatan",3 KT - 3 KM - 156 m2,2390000000,Rumah,156,83,3,3,2,SHM - Sertifikat Hak Milik,"Jalan pepaya, Jagakarsa - Jakarta Selatan",Jagakarsa,Jakarta Selatan,0,0,1
"Matraman, Jakarta Timur",3 KT - 3 KM - 240 m2,5500000000,Rumah,240,202,3,3,2,SHM - Sertifikat Hak Milik,"Jl. Moncokerto No.11 RT.14/RW.12, Utan Kayu Sel., Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13120",Matraman,Jakarta Timur,0,0,1
"Jatinegara, Jakarta Timur",2 KT - 1 KM - 40 m2,130000000,Rumah,40,78,2,1,1,HGB - Hak Guna Bangun,Perumahan The Palm Residence Tambun Utara Blok C7 No.10,Jatinegara,Jakarta Timur,1,0,0
"Kebon Jeruk, Jakarta Barat",5 KT - 5 KM - 465 m2,12000000000,Rumah,465,500,5,5,2,SHM - Sertifikat Hak Milik,"Taman Aries, Kembangan, Jakarta Barat",Kebon Jeruk,Jakarta Barat,0,0,1
"Duren Sawit, Jakarta Timur",3 KT - 2 KM - 90 m2,1500000000,Rumah,90,70,3,2,2,SHM - Sertifikat Hak Milik,"Pondok Bambu, Duren Sawit",Duren Sawit,Jakarta Timur,0,0,1
"Jatinegara, Jakarta Timur",3 KT - 2 KM - 90 m2,1500000000,Rumah,90,70,3,2,2,SHM - Sertifikat Hak Milik,"Pondok Bambu,Durensawit,Jakarta Timur",Jatinegara,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",3 KT - 2 KM - 90 m2,1785000000,Rumah,90,96,3,2,2,SHM - Sertifikat Hak Milik,"Pondok Bambu, Duren Sawit",Duren Sawit,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",3 KT - 2 KM - 100 m2,750000123,Rumah,100,50,3,2,2,SHM - Sertifikat Hak Milik,"Pondok Kopi, Duren Sawit",Duren Sawit,Jakarta Timur,0,0,1
"Pulo Gadung, Jakarta Timur",3 KT - 2 KM - 120 m2,1350000000,Rumah,120,45,3,2,3,SHM - Sertifikat Hak Milik,"Jatinegara Kaum, Rawamangun",Pulo Gadung,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",3 KT - 2 KM - 90 m2,1365000000,Rumah,90,58,3,2,2,SHM - Sertifikat Hak Milik,"Pondok Bambu,Durensawit,Jakarta Timur",Duren Sawit,Jakarta Timur,0,0,1
"Pulo Gadung, Jakarta Timur",2 KT - 2 KM - 85 m2,1200000000,Rumah,85,45,2,2,2,SHM - Sertifikat Hak Milik,"Jatinegara Kaum, Rawamangun",Pulo Gadung,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",5 KT - 4 KM - 210 m2,2750000000,Rumah,210,236,5,4,2,SHM - Sertifikat Hak Milik,Duren Sawit   0813 1432 6023,Duren Sawit,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",3 KT - 3 KM - 300 m2,2500000000,Rumah,300,250,3,3,2,SHM - Sertifikat Hak Milik,Jln Lampiri raya dekat taman RPTRA jakarta timur,Duren Sawit,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",3 KT - 3 KM - 114 m2,2190000000,Rumah,114,94,3,3,2,SHM - Sertifikat Hak Milik,Duren Sawit  0813 1432 6023,Duren Sawit,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",5 KT - 3 KM - 500 m2,5998000000,Rumah,500,500,5,3,2,SHM - Sertifikat Hak Milik,Jakarta Timur,Duren Sawit,Jakarta Timur,0,0,1
"Pulo Gadung, Jakarta Timur",5 KT - 4 KM - 150 m2,2900000000,Rumah,150,89,5,4,2,SHM - Sertifikat Hak Milik,cipinang jaya,Pulo Gadung,Jakarta Timur,0,0,1
"Jatinegara, Jakarta Timur",2 KT - 3 KM - 61 m2,805000000,Rumah,61,31,2,3,2,SHM - Sertifikat Hak Milik,Cipinang Muara  di Jakarta Timur,Jatinegara,Jakarta Timur,0,0,1
"Matraman, Jakarta Timur",2 KT - 2 KM - 59 m2,835000000,Rumah,59,30,2,2,2,SHM - Sertifikat Hak Milik,Matraman,Matraman,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",3 KT - 2 KM - 150 m2,2300000000,Rumah,150,90,3,2,2,SHM - Sertifikat Hak Milik,Duren sawit jakarta timur,Duren Sawit,Jakarta Timur,0,0,1
"Tebet, Jakarta Selatan",1 KT - 1 KM - 25 m2,265000000,Rumah,25,25,1,1,2,HGB - Hak Guna Bangun,JL.KAMPUNG MELAYU BESAR 1,Tebet,Jakarta Selatan,1,0,0
"Makasar, Jakarta Timur",3 KT - 2 KM - 96 m2,2000000000,Rumah,96,136,3,2,2,SHM - Sertifikat Hak Milik,Cluster residenza,Makasar,Jakarta Timur,0,0,1
"Jatinegara, Jakarta Timur",3 KT - 1 KM - 350 m2,5200000000,Rumah,350,206,3,1,1,SHM - Sertifikat Hak Milik,JAKARTA TIMUR,Jatinegara,Jakarta Timur,0,0,1
"Jatinegara, Jakarta Timur",3 KT - 2 KM - 52 m2,1500000000,Rumah,52,52,3,2,2,"Lainnya (PPJB, Girik, Adat, dll)",Jln waru doyong no 214,Jatinegara,Jakarta Timur,0,1,0
"Duren Sawit, Jakarta Timur",4 KT - 7 KM - 400 m2,6000000000,Rumah,400,300,4,7,2,SHM - Sertifikat Hak Milik,Duren sawit klender,Duren Sawit,Jakarta Timur,0,0,1
"Makasar, Jakarta Timur",5 KT - 3 KM - 312 m2,2400000000,Rumah,312,312,5,3,1,SHM - Sertifikat Hak Milik,"Halim, Jakarta Timur",Makasar,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",4 KT - 3 KM - 160 m2,1900000000,Rumah,160,100,4,3,2,SHM - Sertifikat Hak Milik,Jl.H NAMAN PD KELAPA JAKARTA TIMUR,Duren Sawit,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",5 KT - 6 KM - 450 m2,10000000000,Rumah,450,770,5,6,2,SHM - Sertifikat Hak Milik,Duren sawit jakarta timur,Duren Sawit,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",5 KT - 5 KM - 275 m2,5000000000,Rumah,275,175,5,5,2,SHM - Sertifikat Hak Milik,Pondok bambu duren sawit jakarta timur,Duren Sawit,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",5 KT - 4 KM - 300 m2,3500000000,Rumah,300,200,5,4,2,SHM - Sertifikat Hak Milik,Komplek billymoon pondok kelapa.durwn sawit jakarta timur,Duren Sawit,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",5 KT - 2 KM - 400 m2,2800000000,Rumah,400,228,5,2,2,SHM - Sertifikat Hak Milik,Buaran duren sawit jakarta timur,Duren Sawit,Jakarta Timur,0,0,1
"Matraman, Jakarta Timur",2 KT - 2 KM - 39 m2,482500000,Rumah,39,20,2,2,2,SHM - Sertifikat Hak Milik,Jl Cipinang Elok,Matraman,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",5 KT - 3 KM - 180 m2,1749999999,Rumah,180,123,5,3,2,SHM - Sertifikat Hak Milik,Jl. Pondok Kelapa,Duren Sawit,Jakarta Timur,0,0,1
"Jatinegara, Jakarta Timur",2 KT - 1 KM - 33 m2,310000000,Rumah,33,34,2,1,1,"Lainnya (PPJB, Girik, Adat, dll)",Bintara 8 dkt pdk kopi,Jatinegara,Jakarta Timur,0,1,0
"Duren Sawit, Jakarta Timur",3 KT - 1 KM - 50 m2,1100000000,Rumah,50,66,3,1,1,SHM - Sertifikat Hak Milik,"Duren Sawit, Jakarta Timur",Duren Sawit,Jakarta Timur,0,0,1
"Matraman, Jakarta Timur",5 KT - 2 KM - 98 m2,890000000,Rumah,98,90,5,2,2,SHM - Sertifikat Hak Milik,Jl gang taslim no 04 RT 009 RT 008 RW 010,Matraman,Jakarta Timur,0,0,1
"Duren Sawit, Jakarta Timur",5 KT - 4 KM - 250 m2,2600000000,Rumah,250,109,5,4,3,SHM - Sertifikat Hak Milik,"Pondok kelapa, duren sawit, jakarta timur",Duren Sawit,Jakarta Timur,0,0,1
